,Price,Sqtft,Location,NoofBedrooms,SwimmingPool,JoggingTrack,RainWaterHarvesting,CarParking
164,5735000,988,Kolapakkam,2,1,1,1,1
165,5560000,955,Kolapakkam,2,1,1,1,1
166,7700000,1224,Kolapakkam,3,1,1,1,1
167,5580000,958,Kolapakkam,2,1,1,1,1
168,5520000,948,Kolapakkam,2,1,1,1,1
169,2397000,648,Kundrathur,2,0,0,0,1
170,3746000,625,Iyappanthangal,1,1,1,0,0
171,7253000,1210,Iyappanthangal,2,1,1,0,0
172,7283000,1215,Iyappanthangal,2,1,1,0,0
173,10900000,1790,Iyappanthangal,3,1,1,0,0
174,7056999,1502,Kanathur Reddikuppam,3,1,1,1,0
175,29200000,5037,Kanathur Reddikuppam,5,1,1,1,0
176,29500000,5093,Kanathur Reddikuppam,5,1,1,1,0
177,8763000,1865,Kanathur Reddikuppam,3,1,1,1,0
178,6025000,1076,Pammal,2,0,0,0,0
179,5768000,1030,Pammal,2,0,0,0,0
180,4547000,812,Pammal,2,0,0,0,0
181,5208000,930,Pammal,2,0,0,0,0
182,7280000,1300,Pammal,3,0,0,0,0
183,6495000,1382,Puzhal,3,1,0,1,1
184,6791000,1445,Puzhal,3,1,0,1,1
185,7289000,1551,Puzhal,3,1,0,1,1
186,7642000,1626,Puzhal,3,1,0,1,1
187,4641000,753,Selaiyur,2,0,0,0,0
188,4907000,801,Selaiyur,2,0,0,0,0
189,4685000,761,Selaiyur,2,0,0,0,0
190,4498000,727,Selaiyur,2,0,0,0,0
191,4812000,784,Selaiyur,2,0,0,0,0
192,11000000,1431,Thoraipakkam OMR,3,1,1,1,1
193,11500000,1494,Thoraipakkam OMR,3,1,1,1,1
194,10000000,1296,Thoraipakkam OMR,3,1,1,1,1
195,10000000,1302,Thoraipakkam OMR,3,1,1,1,1
196,11000000,1432,Thoraipakkam OMR,3,1,1,1,1
197,10500000,1367,Thoraipakkam OMR,3,1,1,1,1
198,10400000,1349,Thoraipakkam OMR,3,1,1,1,1
199,12000000,1551,Thoraipakkam OMR,3,1,1,1,1
200,11500000,1485,Thoraipakkam OMR,3,1,1,1,1
201,10400000,1353,Thoraipakkam OMR,3,1,1,1,1
202,10400000,1352,Thoraipakkam OMR,3,1,1,1,1
203,10800000,1396,Thoraipakkam OMR,3,1,1,1,1
204,6504000,1239,Karapakkam,2,1,1,0,1
205,8646000,1647,Karapakkam,3,1,1,0,1
206,6452000,1229,Karapakkam,2,1,1,0,1
207,8494000,1618,Karapakkam,3,1,1,0,1
208,6441000,1227,Karapakkam,2,1,1,0,1
209,6462000,1231,Karapakkam,2,1,1,0,1
210,6456999,1230,Karapakkam,2,1,1,0,1
211,8421000,1604,Karapakkam,3,1,1,0,1
212,6342000,1208,Karapakkam,2,1,1,0,1
213,2766000,527,Karapakkam,1,1,1,0,1
214,9357000,1671,Thoraipakkam OMR,3,0,0,0,0
215,8431000,1606,Karapakkam,3,1,1,0,1
216,10200000,1827,Thoraipakkam OMR,4,0,0,0,0
217,8473000,1614,Karapakkam,3,1,1,0,1
218,6300000,1200,Karapakkam,2,1,1,0,1
219,8657000,1546,Thoraipakkam OMR,3,0,0,0,0
220,8237000,1569,Karapakkam,3,1,1,0,1
221,8131000,1452,Thoraipakkam OMR,2,0,0,0,0
222,3013000,574,Karapakkam,1,1,1,0,1
223,3024000,576,Karapakkam,1,1,1,0,1
224,7201000,1286,Thoraipakkam OMR,2,0,0,0,0
225,6909000,1316,Karapakkam,2,1,1,0,1
226,8680000,1550,Thoraipakkam OMR,3,0,0,0,0
227,8158000,1554,Karapakkam,3,1,1,0,1
228,7956999,1421,Thoraipakkam OMR,2,0,0,0,0
229,2971000,566,Karapakkam,1,1,1,0,1
230,6762000,1288,Karapakkam,2,1,1,0,1
231,7218000,1289,Thoraipakkam OMR,2,0,0,0,0
232,2982000,568,Karapakkam,1,1,1,0,1
233,8205000,1563,Karapakkam,3,1,1,0,1
234,8920000,1593,Thoraipakkam OMR,3,0,0,0,0
235,6834999,1302,Karapakkam,2,1,1,0,1
236,8556000,1528,Thoraipakkam OMR,3,0,0,0,0
237,2961000,564,Karapakkam,1,1,1,0,1
238,11500000,1846,Mogappair,3,1,0,0,0
239,11500000,1850,Mogappair,3,1,0,0,0
240,4140000,920,Mugalivakkam,2,0,1,0,1
241,4284000,952,Mugalivakkam,2,0,1,0,1
242,4275000,950,Mugalivakkam,2,0,1,0,1
243,4009000,891,Mugalivakkam,2,0,1,0,1
244,4302000,956,Mugalivakkam,2,0,1,0,1
245,4077000,906,Mugalivakkam,2,0,1,0,1
246,4441000,987,Mugalivakkam,2,0,1,0,1
247,4468000,993,Mugalivakkam,2,0,1,0,1
248,4171000,927,Mugalivakkam,2,0,1,0,1
249,4239000,942,Mugalivakkam,2,0,1,0,1
250,4189000,931,Mugalivakkam,2,0,1,0,1
251,3892000,865,Mugalivakkam,2,0,1,0,1
252,15000000,1161,Anna Nagar,3,0,0,1,1
253,27300000,1500,Adyar,3,0,0,0,0
254,7784999,1437,Sholinganallur,3,0,1,1,0
255,7841000,1310,Sholinganallur,3,0,1,1,0
256,5663000,1006,Sholinganallur,2,0,1,1,0
257,6224000,1120,Sholinganallur,2,0,1,1,0
258,6219000,1119,Sholinganallur,2,0,1,1,0
259,6214000,1118,Sholinganallur,2,0,1,1,0
260,5778000,1004,Sholinganallur,2,0,1,1,0
261,6200000,1115,Sholinganallur,2,0,1,1,0
262,6195000,1114,Sholinganallur,2,0,1,1,0
263,5648000,1003,Sholinganallur,2,0,1,1,0
264,6245000,1094,Sholinganallur,2,0,1,1,0
265,5816000,1026,Sholinganallur,2,0,1,1,0
266,6141000,1103,Sholinganallur,2,0,1,1,0
267,6003000,1075,Sholinganallur,2,0,1,1,0
268,5993000,1073,Sholinganallur,2,0,1,1,0
269,5682000,1010,Sholinganallur,2,0,1,1,0
270,5678000,1009,Sholinganallur,2,0,1,1,0
271,6776000,1124,Sholinganallur,2,0,1,1,0
272,6853000,1133,Sholinganallur,2,0,1,1,0
273,7527000,1158,Mogappair,2,1,0,0,1
274,6662000,1025,Mogappair,2,1,0,0,1
275,10300000,1594,Mogappair,3,1,0,0,1
276,6083000,1106,Mugalivakkam,2,1,0,1,1
277,10200000,1816,Mugalivakkam,3,1,0,1,1
278,11500000,2096,Mugalivakkam,4,1,0,1,1
279,8563000,1557,Mugalivakkam,3,1,0,1,1
280,3211999,584,Mugalivakkam,1,1,0,1,1
281,8981000,1633,Mugalivakkam,3,1,0,1,1
282,3289000,598,Mugalivakkam,1,1,0,1,1
283,5461000,993,Mugalivakkam,2,1,0,1,1
284,39000000,2200,Purasaiwakkam,4,0,0,0,0
285,7542000,1640,Sholinganallur,3,1,1,1,1
286,5226000,917,Medavakkam,2,0,0,0,0
287,6629000,1163,Medavakkam,3,0,0,0,0
288,5580000,979,Medavakkam,2,0,0,0,0
289,5295000,929,Medavakkam,2,0,0,0,0
290,5889000,906,East Tambaram,2,0,0,0,0
291,6123000,942,East Tambaram,2,0,0,0,0
292,6552000,1008,East Tambaram,2,0,0,0,0
293,7780000,1197,East Tambaram,3,0,0,0,0
294,6584000,1013,East Tambaram,2,0,0,0,0
295,7163000,1102,East Tambaram,3,0,0,0,0
296,5934000,913,East Tambaram,2,0,0,0,0
297,10200000,1571,Maduravoyal,3,1,0,0,1
298,7415000,1141,Maduravoyal,2,1,0,0,1
299,6758000,1040,Maduravoyal,2,1,0,0,1
300,9612000,1479,Maduravoyal,3,1,0,0,1
301,7252000,1116,Maduravoyal,2,1,0,0,1
302,7525000,1158,Maduravoyal,2,1,0,0,1
303,6667000,1026,Maduravoyal,2,1,0,0,1
304,6661000,1025,Maduravoyal,2,1,0,0,1
305,10300000,1594,Maduravoyal,3,1,0,0,1
306,10100000,1568,Maduravoyal,3,1,0,0,1
307,6934000,1067,Maduravoyal,2,1,0,0,1
308,6967000,1515,Sholinganallur,3,1,1,1,1
309,6967000,1515,Sholinganallur,3,1,1,1,1
310,6506999,1415,Sholinganallur,2,1,1,1,1
311,6506999,1415,Sholinganallur,2,1,1,1,1
312,2529000,541,Tiruvottiyur,1,0,0,0,0
313,2542000,544,Tiruvottiyur,1,0,0,0,0
314,3404999,742,Tiruvottiyur,2,0,0,0,0
315,3397000,740,Tiruvottiyur,2,0,0,0,0
316,2525000,540,Tiruvottiyur,1,0,0,0,0
317,3392000,739,Tiruvottiyur,2,0,0,0,0
318,2725000,586,Tiruvottiyur,1,0,0,0,0
319,3327000,724,Tiruvottiyur,2,0,0,0,0
320,2710000,583,Tiruvottiyur,1,0,0,0,0
321,2567000,550,Tiruvottiyur,1,0,0,0,0
322,3418000,745,Tiruvottiyur,2,0,0,0,0
323,2708000,582,Tiruvottiyur,1,0,0,0,0
324,2550000,546,Tiruvottiyur,1,0,0,0,0
325,3427000,747,Tiruvottiyur,2,0,0,0,0
326,2259000,572,Perungalathur,2,0,0,0,0
327,2014000,510,Perungalathur,1,0,0,0,0
328,2772000,702,Perungalathur,2,0,0,0,0
329,3183000,806,Perungalathur,2,0,0,0,0
330,2788000,706,Perungalathur,2,0,0,0,0
331,2002000,507,Perungalathur,1,0,0,0,0
332,2768000,701,Perungalathur,2,0,0,0,0
333,2765000,700,Perungalathur,2,0,0,0,0
334,3242000,821,Perungalathur,2,0,0,0,0
335,2456000,622,Perungalathur,2,0,0,0,0
336,2449000,620,Perungalathur,2,0,0,0,0
337,2445000,619,Perungalathur,2,0,0,0,0
338,2476000,627,Perungalathur,2,0,0,0,0
339,2061000,522,Perungalathur,1,0,0,0,0
340,2425000,614,Perungalathur,2,0,0,0,0
341,3199000,810,Perungalathur,2,0,0,0,0
342,2050000,519,Perungalathur,1,0,0,0,0
343,2441000,618,Perungalathur,2,0,0,0,0
344,17600000,2277,Iyappanthangal,4,1,1,1,1
345,13000000,1800,Iyappanthangal,3,1,1,1,1
346,19500000,2533,Iyappanthangal,4,1,1,1,1
347,13899999,1938,Iyappanthangal,3,1,1,1,1
348,20200000,2621,Iyappanthangal,4,1,1,1,1
349,14300000,1990,Iyappanthangal,3,1,1,1,1
350,13100000,1825,Iyappanthangal,3,1,1,1,1
351,5712000,952,East Tambaram,2,0,0,0,0
352,4776000,796,East Tambaram,2,0,0,0,0
353,7620000,1270,East Tambaram,3,0,0,0,0
354,5580000,930,East Tambaram,2,0,0,0,0
355,5382000,897,East Tambaram,2,0,0,0,0
356,4695000,821,Gowrivakkam,2,0,0,1,0
357,5833000,1020,Gowrivakkam,3,0,0,1,0
358,5267000,921,Gowrivakkam,2,0,0,1,0
359,7028000,1229,Gowrivakkam,3,0,0,1,0
360,5101000,892,Gowrivakkam,2,0,0,1,0
361,3597000,629,Gowrivakkam,1,0,0,1,0
362,13300000,1846,Mogappair,3,1,0,0,0
363,9500000,1306,Mogappair,2,1,0,0,0
364,13700000,1850,Mogappair,3,1,0,0,0
365,6333000,1092,Manapakkam,2,0,0,0,0
366,4065999,701,Manapakkam,2,0,0,0,0
367,4513000,778,Manapakkam,2,0,0,0,0
368,2743000,638,Poonamallee,1,0,0,0,0
369,2089999,550,Mudichur,1,0,0,0,0
370,33500000,2684,Saidapet,4,1,1,0,0
371,21600000,1733,Saidapet,3,1,1,0,0
372,2499000,677,Avadi,2,0,1,0,1
373,2827000,589,Pammal,1,0,0,0,0
374,4684000,976,Pammal,2,0,0,0,0
375,4204000,876,Pammal,2,0,0,0,0
376,5908000,1231,Pammal,3,0,0,0,0
377,2500000,677,Avadi,2,0,1,0,1
378,2750000,677,Avadi,2,0,1,0,1
379,4684000,884,Madipakkam,2,0,0,0,0
380,4843000,914,Madipakkam,2,0,0,0,0
381,4398000,830,Madipakkam,2,0,0,0,0
382,3442000,850,Poonamallee,2,0,0,0,0
383,3442000,850,Poonamallee,2,0,0,0,0
384,3554999,900,Poonamallee,2,0,0,0,0
385,3554999,900,Poonamallee,2,0,0,0,0
386,3554999,900,Poonamallee,2,0,0,0,0
387,3442000,850,Poonamallee,2,0,0,0,0
388,3627000,930,Poonamallee,2,0,0,0,0
389,3627000,930,Poonamallee,2,0,0,0,0
390,3675000,750,Pammal,2,0,0,0,0
391,5243000,1070,Pammal,2,0,0,0,0
392,6181000,951,West Tambaram,2,0,0,1,0
393,3159000,486,West Tambaram,1,0,0,1,0
394,5993000,922,West Tambaram,2,0,0,1,0
395,8131000,1251,West Tambaram,3,0,0,1,0
396,6955000,1070,West Tambaram,2,0,0,1,0
397,5205000,1001,Pallavaram,2,0,0,0,0
398,5460000,1050,Pallavaram,2,0,0,0,0
399,4617000,888,Pallavaram,2,0,0,0,0
400,6240000,1200,Pallavaram,3,0,0,0,0
401,11500000,1000,Alwarpet,2,0,0,0,0
402,8000000,1000,Adambakkam,2,0,0,0,0
403,3479999,725,Pammal,2,0,0,0,0
404,3868000,806,Pammal,2,0,0,0,0
405,3628000,756,Pammal,2,0,0,0,0
406,3676000,766,Pammal,2,0,0,0,0
407,5000000,1000,Madambakkam,2,0,0,1,1
408,5015000,1003,Madambakkam,2,0,0,1,1
409,5805000,1161,Madambakkam,3,0,0,1,1
410,4490000,898,Madambakkam,2,0,0,1,1
411,5599000,815,Perungudi,2,0,0,1,0
412,6100000,1185,Iyappanthangal,3,0,0,0,1
413,2900000,560,Iyappanthangal,1,0,0,0,1
414,2800000,540,Iyappanthangal,1,0,0,0,1
415,5400000,1035,Iyappanthangal,2,0,0,0,1
416,17400000,1250,Annanagar West,3,0,0,0,0
417,2500000,570,Thiruverkadu,2,1,0,1,1
418,2475000,570,Thiruverkadu,1,1,0,1,1
419,2480000,575,Thiruverkadu,1,1,0,1,1
420,5300000,1020,Maduravoyal,2,1,0,0,0
421,2520000,677,Avadi,2,0,1,0,1
422,2675000,677,Avadi,1,0,1,0,1
423,2475000,677,Avadi,2,0,1,0,1
424,3443000,900,Urapakkam,2,0,0,0,1
425,2003000,552,Urapakkam,1,0,0,0,1
426,3347000,881,Kolapakkam,2,0,0,0,1
427,2731000,700,Urapakkam,2,0,0,0,1
428,3700000,892,Avadi,2,0,0,0,0
429,5000000,840,tambaram west,2,0,0,0,0
430,12000000,900,Perungudi,2,0,0,0,0
431,10000000,1200,Perungudi,3,0,0,0,0
432,8500000,1500,Guindy,3,0,1,1,1
433,5750000,1100,Maduravoyal,2,1,0,0,0
434,5350000,1045,Maduravoyal,2,1,0,0,0
435,2475000,677,Avadi,2,0,1,0,1
436,2480000,677,Avadi,2,0,1,0,1
437,2495000,677,Avadi,2,0,1,0,1
438,4200000,1054,Avadi,2,0,0,0,0
439,4230000,1055,Avadi,2,0,0,0,0
440,2500000,677,Avadi,2,0,1,0,1
441,2475000,677,Avadi,2,0,1,0,1
442,2475000,677,Avadi,2,0,1,0,1
443,2480000,677,Avadi,2,0,1,0,1
444,2495000,677,Avadi,2,0,1,0,1
445,4200000,1054,Avadi,2,0,0,0,0
446,4230000,1055,Avadi,2,0,0,0,0
447,2295000,574,Avadi,1,0,0,0,0
448,3701000,892,Avadi,2,0,0,0,0
449,2525000,677,Avadi,2,0,1,0,1
450,2450000,570,Avadi,1,1,1,1,0
451,2460000,570,Avadi,1,1,1,1,0
452,4300000,1100,Thiruverkadu,1,1,0,1,1
453,4200000,915,Thiruverkadu,1,1,0,1,1
454,4250000,1000,Thiruverkadu,1,1,0,1,1
455,4350000,1200,Thiruverkadu,1,1,0,1,1
456,2400000,570,Thiruverkadu,1,1,0,1,1
457,2450000,550,Thiruverkadu,1,1,0,1,1
458,2490000,570,Thiruverkadu,1,1,0,1,1
459,2400000,550,Thiruverkadu,1,1,0,1,1
460,2485000,570,Thiruverkadu,1,1,0,1,1
461,2475000,570,Thiruverkadu,1,1,0,1,1
462,2500000,570,Thiruverkadu,1,1,0,1,1
463,2475000,575,Thiruverkadu,1,1,0,1,1
464,2700000,677,Avadi,1,0,1,0,1
465,2500000,570,Thiruverkadu,1,1,0,1,1
466,2475000,570,Thiruverkadu,1,1,0,1,1
467,2475000,570,Thiruverkadu,1,1,0,1,1
468,2650000,677,Avadi,2,0,1,0,1
469,2675000,677,Avadi,2,0,1,0,1
470,4841000,1077,Navallur,2,0,1,0,0
471,4688000,1043,Navallur,2,0,1,0,0
472,6054000,1347,Navallur,3,0,1,0,0
473,5758000,1281,Navallur,3,0,1,0,0
474,5937000,1321,Navallur,3,0,1,0,0
475,6117000,1361,Navallur,3,0,1,0,0
476,5816000,1294,Navallur,3,0,1,0,0
477,4904000,1091,Navallur,2,0,1,0,0
478,4665000,1038,Navallur,2,0,1,0,0
479,4481000,997,Navallur,2,0,1,0,0
480,6461000,994,Korattur,2,0,0,0,0
481,6396000,984,Korattur,2,0,0,0,0
482,6461000,994,Korattur,2,0,0,0,0
483,6636000,1031,Korattur,2,0,0,0,0
484,6259000,963,Korattur,2,0,0,0,0
485,6259000,963,Korattur,2,0,0,0,0
486,6396000,984,Korattur,2,0,0,0,0
487,6389000,983,Korattur,2,0,0,0,0
488,6396000,984,Anna Nagar,2,0,0,0,0
489,5400000,840,tambaram west,2,0,0,0,0
490,5050000,840,tambaram west,2,0,0,0,0
491,3800000,550,Chromepet,1,0,0,0,0
492,4934000,999,Moolacheri,2,1,1,1,1
493,3400000,603,Moolacheri,2,1,1,1,1
494,5800000,1152,Moolacheri,2,1,1,1,1
495,3143000,603,Moolacheri,1,1,1,1,1
496,3200000,612,Moolacheri,1,1,1,1,1
497,4020000,804,Pammal,2,0,0,0,0
498,4750000,950,Pammal,3,0,0,0,0
499,4455000,891,Pammal,2,0,0,0,0
500,3020000,604,Pammal,1,0,0,0,0
501,4285000,857,Pammal,2,0,0,0,0
502,3865000,773,Pammal,2,0,0,0,0
503,5025000,1005,Pammal,3,0,0,0,0
504,4250000,850,Pammal,2,0,0,0,0
505,6265000,895,Tambaram Sanatoruim,2,0,0,0,0
506,5070000,845,tambaram west,2,0,0,0,0
507,5850000,975,tambaram west,2,0,0,0,0
508,3000000,550,Irumbuliyur,1,0,0,0,0
509,3510000,900,Poonamallee,2,0,0,0,0
510,3627000,930,Poonamallee,2,0,0,0,0
511,3510000,900,Poonamallee,2,0,0,0,0
512,2750000,550,Irumbuliyur,1,0,0,0,0
513,2850000,550,tambaram west,1,0,0,0,0
514,6600000,900,Chromepet,2,0,0,0,0
515,6948000,1069,Anna Nagar,2,0,0,0,0
516,6461000,994,Anna Nagar,2,0,0,0,0
517,6389000,983,Anna Nagar,2,0,0,0,0
518,6396000,984,Anna Nagar,2,0,0,0,0
519,6461000,994,Anna Nagar,2,0,0,0,0
520,6461000,994,Anna Nagar,2,0,0,0,0
521,6461000,994,Anna Nagar,2,0,0,0,0
522,6389000,983,Anna Nagar,2,0,0,0,0
523,6389000,983,Annanagar West,2,0,0,0,0
524,6396000,984,Anna Nagar,2,0,0,0,0
525,6461000,994,Anna Nagar,2,0,0,0,0
526,3400000,1062,Kelambakkam,3,1,1,1,1
527,4831000,880,tambaram west,2,0,0,0,0
528,9548000,1469,Kolathur,3,0,1,1,0
529,6396000,984,Kolathur,2,0,1,1,0
530,9158000,1409,Kolathur,3,0,1,1,0
531,6389000,983,Kolathur,2,0,1,1,0
532,6831000,1051,Kolathur,2,0,1,1,0
